"","X","police_department","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate","thresholds","total_stops"
"1",0,"Anderson County","Black",18850,346,136,0.0183554376657825,0.393063583815029,0.274320756121605,118701
"2",1,"Anderson County","Hispanic",10928,229,77,0.0209553440702782,0.336244541484716,0.170064909512147,118701
"3",2,"Anderson County","White",88923,1142,405,0.0128425716631243,0.354640980735552,0.232690512747484,118701
"4",8,"Angelina County","Asian",671,3,2,0.00447093889716841,0.666666666666667,0.248718020694941,125625
"5",9,"Angelina County","Black",19616,395,166,0.0201366231647635,0.420253164556962,0.298837641417061,125625
"6",10,"Angelina County","Hispanic",15589,320,97,0.0205272948874206,0.303125,0.191211470013105,125625
"7",12,"Angelina County","White",89749,1215,468,0.0135377552953236,0.385185185185185,0.260685208757237,125625
"8",24,"Atascosa County","Asian",1043,7,3,0.00671140939597315,0.428571428571429,0.195285253678632,126723
"9",25,"Atascosa County","Black",4232,60,20,0.0141776937618147,0.333333333333333,0.276333059159443,126723
"10",26,"Atascosa County","Hispanic",61501,1226,299,0.0199346352091836,0.243882544861338,0.161640196467635,126723
"11",28,"Atascosa County","White",59947,1118,326,0.018649807329808,0.291592128801431,0.187294354453384,126723
"12",41,"Bastrop County","Asian",4710,34,8,0.00721868365180467,0.235294117647059,0.286038712358294,147897
"13",42,"Bastrop County","Black",14278,556,201,0.0389410281552038,0.361510791366906,0.261847065158723,147897
"14",43,"Bastrop County","Hispanic",29064,1046,347,0.0359895403248004,0.331739961759082,0.163562245274628,147897
"15",45,"Bastrop County","White",99845,2602,979,0.0260603936100956,0.376249039200615,0.229116682003822,147897
"16",52,"Bell County","Asian",6743,48,11,0.0071184932522616,0.229166666666667,0.18026308671965,268787
"17",53,"Bell County","Black",50820,916,314,0.0180243998425817,0.342794759825328,0.244451242946542,268787
"18",54,"Bell County","Hispanic",46532,976,214,0.020974813031892,0.219262295081967,0.147414327506662,268787
"19",56,"Bell County","White",164692,2019,585,0.0122592475651519,0.289747399702823,0.205540547670889,268787
"20",57,"Bexar County","Asian",1705,14,7,0.00821114369501466,0.5,0.206329279286496,162065
"21",58,"Bexar County","Black",10355,195,62,0.0188314823756639,0.317948717948718,0.272853923580208,162065
"22",59,"Bexar County","Hispanic",73911,1561,482,0.0211199956704685,0.308776425368354,0.171654281848287,162065
"23",61,"Bexar County","White",76094,1312,365,0.0172418324703656,0.278201219512195,0.20774537595295,162065
"24",70,"Bowie County","Asian",1012,28,3,0.0276679841897233,0.107142857142857,0.145942726439287,156696
"25",71,"Bowie County","Black",30155,1449,389,0.0480517327143094,0.268461007591442,0.190627665893994,156696
"26",72,"Bowie County","Hispanic",10229,708,108,0.0692149770261023,0.152542372881356,0.0829529909902685,156696
"27",73,"Bowie County","White",115300,4219,1130,0.0365915004336513,0.267835980090069,0.150773437880916,156696
"28",74,"Brazoria County","Asian",6546,57,15,0.00870760769935839,0.263157894736842,0.259523526923542,345379
"29",75,"Brazoria County","Black",55459,1269,519,0.0228817685136768,0.408983451536643,0.321261418757142,345379
"30",76,"Brazoria County","Hispanic",80513,1764,691,0.0219095052972812,0.39172335600907,0.215003978462853,345379
"31",78,"Brazoria County","White",202861,3616,1508,0.017825013186369,0.417035398230089,0.267278984548652,345379
"32",79,"Brazos County","Asian",4345,59,31,0.0135788262370541,0.525423728813559,0.303883439657984,140944
"33",80,"Brazos County","Black",20042,1053,437,0.0525396666999301,0.415004748338082,0.264043751730751,140944
"34",81,"Brazos County","Hispanic",22137,895,373,0.0404300492388309,0.416759776536313,0.179986605039856,140944
