County,Asian_Thresh,Black_Thresh,Hispanic_Thresh,White_Thresh,Asian_Stop_N,Black_Stop_N,Hispanic_Stop_N,White_Stop_N,Asian_Search_N,Black_Search_N,Hispanic_Search_N,White_Search_N,Asian_Hit_N,Black_Hit_N,Hispanic_Hit_N,White_Hit_N
Anderson County,,0.274320756,0.17006491,0.232690513,,18850,10928,88923,,346,229,1142,,136,77,405
Angelina County,0.248718021,0.298837641,0.19121147,0.260685209,671,19616,15589,89749,3,395,320,1215,2,166,97,468
Atascosa County,0.195285254,0.276333059,0.161640196,0.187294354,1043,4232,61501,59947,7,60,1226,1118,3,20,299,326
Bastrop County,0.286038712,0.261847065,0.163562245,0.229116682,4710,14278,29064,99845,34,556,1046,2602,8,201,347,979
Bell County,0.180263087,0.244451243,0.147414328,0.205540548,6743,50820,46532,164692,48,916,976,2019,11,314,214,585
Bexar County,0.206329279,0.272853924,0.171654282,0.207745376,1705,10355,73911,76094,14,195,1561,1312,7,62,482,365
Bowie County,0.145942726,0.190627666,0.082952991,0.150773438,1012,30155,10229,115300,28,1449,708,4219,3,389,108,1130
Brazoria County,0.259523527,0.321261419,0.215003978,0.267278985,6546,55459,80513,202861,57,1269,1764,3616,15,519,691,1508
Brazos County,0.30388344,0.264043752,0.179986605,0.271189882,4345,20042,22137,94420,59,1053,895,2630,31,437,373,1192
Brooks County,,0.084070826,0.051882789,0.070756002,,1701,72725,24608,,75,2418,469,,7,143,30
Burleson County,0.240776971,0.263629503,0.177037807,0.231860981,1519,9924,10302,61220,20,361,299,1460,11,142,86,558
Burnet County,0.268772418,0.29597751,0.171020744,0.253094172,844,2930,13905,74956,5,72,419,1436,1,19,129,581
Callahan County,0.22247113,0.295039189,0.216922714,0.259946586,1688,9505,15133,63227,8,137,180,620,2,48,52,243
Cameron County,0.129315609,0.182176361,0.129360423,0.146561108,1729,3400,295130,79200,7,44,3030,740,2,12,537,132
Carson County,0.249900578,0.192024556,0.104815135,0.299771601,2216,9182,22416,67786,75,917,1762,2176,41,361,537,1117
Cass County,,0.217771474,0.090161392,0.186313711,,20636,6781,84903,,697,408,1918,,202,62,585
Chambers County,0.193110037,0.203070133,0.148608101,0.222472251,4686,59794,32585,94612,71,3411,1162,1992,14,1148,235,638
Cherokee County,0.226733313,0.236113929,0.133787282,0.220891473,634,15744,12360,77443,5,544,466,1495,2,183,114,514
Collin County,0.178334843,0.234255771,0.15074224,0.210777507,11746,36055,35599,214643,49,490,512,1585,14,154,99,454
Colorado County,0.343598113,0.287695575,0.178361615,0.320342346,6815,15380,29448,69936,37,505,861,1030,24,222,263,532
Comal County,0.294359774,0.295000728,0.200506953,0.245398018,1625,6680,32288,81575,5,161,682,1465,3,70,219,559
Cooke County,0.265670302,0.3182909,0.223147437,0.362150628,3292,10618,15035,103963,20,213,263,703,10,106,99,333
Culberson County,0.116209221,0.180854873,0.110320355,0.154516406,1927,7118,41609,45662,23,131,816,479,8,42,95,108
Dallas County,0.206518888,0.257866317,0.181619481,0.263068107,7265,38064,24430,92242,60,903,483,961,13,316,162,354
Denton County,0.240570868,0.235739537,0.157110545,0.231102944,8088,29960,36680,163998,85,1309,1271,3688,31,485,371,1330
Eastland County,0.308617424,0.247886427,0.187270104,0.310645667,1585,10217,19063,79557,11,522,636,1398,2,211,239,654
Ector County,0.228062634,0.220022099,0.152134929,0.196038587,497,4625,64500,64409,11,261,2715,2307,5,74,888,736
El Paso County,0.19470932,0.229583182,0.168371099,0.18416502,2140,12022,213302,85658,22,383,4728,1981,7,145,1337,505
Ellis County,0.262740215,0.270066843,0.135873165,0.248887589,3002,23114,27472,98924,28,833,1258,2155,9,320,358,851
Erath County,0.221043092,0.239826871,0.169485953,0.232177221,553,2516,14294,81343,6,91,396,1525,2,30,130,531
Fayette County,0.269503383,0.293714535,0.200013829,0.327387463,5149,10537,20312,59817,22,220,386,421,11,100,134,172
Fort Bend County,0.185614916,0.235164203,0.134576715,0.178150122,24211,62665,78575,124928,131,1103,1834,1977,30,325,399,520
Freestone County,0.207757317,0.255885018,0.134429325,0.241910151,3562,18073,15249,53781,24,384,478,597,8,131,113,205
Frio County,,0.154802224,0.078878648,0.118835932,,3707,85192,37517,,105,3572,818,,18,432,137
Galveston County,0.266011826,0.25355845,0.179674642,0.241540609,4521,33050,38046,100191,18,911,869,1487,6,293,321,512
Gonzales County,0.166619523,0.196749185,0.086352041,0.163743132,4034,14604,42595,72618,23,318,1813,1098,10,84,204,310
Grayson County,0.129886857,0.174784103,0.107474432,0.16659188,1565,10144,11580,119551,18,286,322,1468,1,65,52,336
