,police_department,driver_race,num_stops,num_searches,num_hits,search_rate,hit_rate
0,Anderson County,Black,18850,346,136,0.018355437665782494,0.3930635838150289
1,Anderson County,Hispanic,10928,229,77,0.020955344070278183,0.33624454148471616
2,Anderson County,White,88923,1142,405,0.012842571663124277,0.35464098073555167
8,Angelina County,Asian,671,3,2,0.004470938897168405,0.6666666666666666
9,Angelina County,Black,19616,395,166,0.02013662316476346,0.42025316455696204
10,Angelina County,Hispanic,15589,320,97,0.020527294887420618,0.303125
12,Angelina County,White,89749,1215,468,0.013537755295323625,0.3851851851851852
24,Atascosa County,Asian,1043,7,3,0.006711409395973154,0.42857142857142855
25,Atascosa County,Black,4232,60,20,0.014177693761814745,0.3333333333333333
26,Atascosa County,Hispanic,61501,1226,299,0.01993463520918359,0.24388254486133767
28,Atascosa County,White,59947,1118,326,0.018649807329807998,0.29159212880143115
41,Bastrop County,Asian,4710,34,8,0.007218683651804671,0.23529411764705882
42,Bastrop County,Black,14278,556,201,0.03894102815520381,0.36151079136690645
43,Bastrop County,Hispanic,29064,1046,347,0.03598954032480044,0.3317399617590822
45,Bastrop County,White,99845,2602,979,0.02606039361009565,0.3762490392006149
52,Bell County,Asian,6743,48,11,0.007118493252261605,0.22916666666666666
53,Bell County,Black,50820,916,314,0.01802439984258166,0.34279475982532753
54,Bell County,Hispanic,46532,976,214,0.020974813031892033,0.2192622950819672
56,Bell County,White,164692,2019,585,0.01225924756515192,0.2897473997028232
57,Bexar County,Asian,1705,14,7,0.008211143695014663,0.5
58,Bexar County,Black,10355,195,62,0.01883148237566393,0.31794871794871793
59,Bexar County,Hispanic,73911,1561,482,0.021119995670468537,0.30877642536835365
61,Bexar County,White,76094,1312,365,0.0172418324703656,0.2782012195121951
70,Bowie County,Asian,1012,28,3,0.02766798418972332,0.10714285714285714
71,Bowie County,Black,30155,1449,389,0.0480517327143094,0.26846100759144237
72,Bowie County,Hispanic,10229,708,108,0.06921497702610226,0.15254237288135594
73,Bowie County,White,115300,4219,1130,0.03659150043365134,0.26783598009006876
74,Brazoria County,Asian,6546,57,15,0.008707607699358386,0.2631578947368421
75,Brazoria County,Black,55459,1269,519,0.02288176851367677,0.408983451536643
76,Brazoria County,Hispanic,80513,1764,691,0.021909505297281185,0.39172335600907027
78,Brazoria County,White,202861,3616,1508,0.01782501318636899,0.4170353982300885
79,Brazos County,Asian,4345,59,31,0.013578826237054085,0.5254237288135594
80,Brazos County,Black,20042,1053,437,0.05253966669993015,0.41500474833808165
81,Brazos County,Hispanic,22137,895,373,0.040430049238830916,0.41675977653631285
83,Brazos County,White,94420,2630,1192,0.027854268163524678,0.4532319391634981
90,Brooks County,Black,1701,75,7,0.04409171075837742,0.09333333333333334
91,Brooks County,Hispanic,72725,2418,143,0.03324853901684428,0.05913978494623656
93,Brooks County,White,24608,469,30,0.019058842652795838,0.06396588486140725
99,Burleson County,Asian,1519,20,11,0.013166556945358789,0.55
100,Burleson County,Black,9924,361,142,0.03637646110439339,0.39335180055401664
101,Burleson County,Hispanic,10302,299,86,0.02902349058435255,0.28762541806020064
